일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2026-02-20,509000,-4000,-0.78,516000,516000,504000,1251835,6.37092E+11,1.04222E+14,204757766
2026-02-19,513000,14000,2.81,504000,523000,495500,1907584,9.72097E+11,1.05041E+14,204757766
2026-02-13,499000,-7000,-1.38,499500,509500,497500,1147006,5.74836E+11,1.02174E+14,204757766
2026-02-12,506000,-3000,-0.59,512000,512000,498000,1733637,8.74772E+11,1.03607E+14,204757766
2026-02-11,509000,28500,5.93,480500,515000,477000,3270111,1.63919E+12,1.04222E+14,204757766
2026-02-10,480500,2500,0.52,499000,505000,479000,1738747,8.50652E+11,9.83861E+13,204757766
2026-02-09,478000,10500,2.25,484000,485000,473000,1518143,7.26961E+11,9.78742E+13,204757766
2026-02-06,467500,-21000,-4.3,469500,473000,452000,2023516,9.38552E+11,9.57243E+13,204757766
2026-02-05,488500,-15500,-3.08,492500,508000,483500,1653286,8.16562E+11,1.00024E+14,204757766
2026-02-04,504000,12500,2.54,502000,518000,497500,1706630,8.63585E+11,1.03198E+14,204757766
2026-02-03,491500,13500,2.82,487000,495000,473000,2275995,1.10756E+12,1.00638E+14,204757766
2026-02-02,478000,-22000,-4.4,486000,507000,473000,2652237,1.29171E+12,9.78742E+13,204757766
2026-01-30,500000,-28000,-5.3,516000,517000,500000,3032673,1.53537E+12,1.02379E+14,204757766
2026-01-29,528000,35500,7.21,501000,529000,494000,5431226,2.78191E+12,1.08112E+14,204757766
2026-01-28,492500,4000,0.82,505000,506000,490500,2514604,1.24844E+12,1.00843E+14,204757766
2026-01-27,488500,-4000,-0.81,473000,499000,469000,4492400,2.18209E+12,1.00024E+14,204757766
2026-01-26,492500,-17500,-3.43,499000,515000,490000,3680159,1.83878E+12,1.00843E+14,204757766
2026-01-23,510000,-19000,-3.59,530000,543000,500000,4774169,2.4674E+12,1.04426E+14,204757766
2026-01-22,529000,-20000,-3.64,586000,590000,525000,7176207,3.96763E+12,1.08317E+14,204757766
2026-01-21,549000,70000,14.61,468000,551000,467500,7830202,4.0515E+12,1.12412E+14,204757766
2026-01-20,479000,-1000,-0.21,494000,496500,460500,5235613,2.50382E+12,9.8079E+13,204757766
2026-01-19,480000,67000,16.22,420000,487000,419500,5990850,2.76864E+12,9.82837E+13,204757766
2026-01-16,413000,-9000,-2.13,426500,426500,408000,2589883,1.08202E+12,8.4565E+13,204757766
2026-01-15,422000,10500,2.55,409500,425000,405000,2864894,1.19463E+12,8.64078E+13,204757766
2026-01-14,411500,5500,1.35,406500,413500,398000,2861932,1.16088E+12,8.42578E+13,204757766
2026-01-13,406000,39000,10.63,380500,413500,378000,5463622,2.18054E+12,8.31317E+13,204757766
2026-01-12,367000,1000,0.27,383000,383500,358500,3027809,1.12616E+12,7.51461E+13,204757766
2026-01-09,366000,25500,7.49,349000,369000,340000,3104258,1.10292E+12,7.49413E+13,204757766
2026-01-08,340500,-10000,-2.85,361000,361000,338000,3053301,1.05736E+12,6.972E+13,204757766
2026-01-07,350500,42500,13.8,314000,362000,313000,7764177,2.65573E+12,7.17676E+13,204757766
2026-01-06,308000,3500,1.15,318000,330000,304000,3346949,1.05228E+12,6.30654E+13,204757766
2026-01-05,304500,6000,2.01,302500,310000,302000,1292161,3.95737E+11,6.23487E+13,204757766
2026-01-02,298500,2000,0.67,299500,302000,293000,955205,2.8459E+11,6.11202E+13,204757766
2025-12-30,296500,3000,1.02,291000,297500,289500,628188,1.84962E+11,6.07107E+13,204757766
2025-12-29,293500,7500,2.62,284500,294000,282500,697450,2.02241E+11,6.00964E+13,204757766
2025-12-26,286000,-3000,-1.04,292000,292000,285000,847245,2.43316E+11,5.85607E+13,204757766
2025-12-24,289000,2000,0.7,289000,300000,287000,1295368,3.8059E+11,5.9175E+13,204757766
2025-12-23,287000,-2000,-0.69,290500,292500,285500,699584,2.01403E+11,5.87655E+13,204757766
2025-12-22,289000,500,0.17,290500,290500,285000,676748,1.9515E+11,5.9175E+13,204757766
2025-12-19,288500,6000,2.12,285500,288500,278500,1210816,3.44866E+11,5.90726E+13,204757766
2025-12-18,282500,-3500,-1.22,280500,285000,280000,705877,1.98944E+11,5.78441E+13,204757766
2025-12-17,286000,0,0,288000,288500,284000,686802,1.96407E+11,5.85607E+13,204757766
2025-12-16,286000,-7500,-2.56,296500,301500,284500,1264096,3.65085E+11,5.85607E+13,204757766
2025-12-15,293500,-8000,-2.65,296500,297500,293500,798990,2.35673E+11,6.00964E+13,204757766
2025-12-12,301500,6000,2.03,299000,303000,295500,827283,2.48532E+11,6.17345E+13,204757766
2025-12-11,295500,-7000,-2.31,304000,306500,295500,1465528,4.37924E+11,6.05059E+13,204757766
2025-12-10,302500,-4500,-1.47,304500,306000,297500,1173271,3.5411E+11,6.19392E+13,204757766
2025-12-09,307000,-8500,-2.69,308000,312000,301500,1229611,3.7596E+11,6.28606E+13,204757766
2025-12-08,315500,500,0.16,321000,321000,308500,1913789,6.00066E+11,6.46011E+13,204757766
2025-12-05,315000,31500,11.11,282000,316500,280000,3892799,1.17865E+12,6.44987E+13,204757766
2025-12-04,283500,17000,6.38,273000,284500,270000,1994134,5.58547E+11,5.80488E+13,204757766
2025-12-03,266500,500,0.19,266500,267500,263000,483994,1.28962E+11,5.45679E+13,204757766
2025-12-02,266000,11500,4.52,257500,267500,257000,1084944,2.87727E+11,5.44656E+13,204757766
2025-12-01,254500,-7000,-2.68,261000,261500,253500,555473,1.41915E+11,5.21109E+13,204757766
2025-11-28,261500,0,0,261500,265500,259000,511004,1.33823E+11,5.35442E+13,204757766
2025-11-27,261500,0,0,261500,262500,259500,289061,75409270000,5.35442E+13,204757766
2025-11-26,261500,4000,1.55,260500,262000,259500,402781,1.05106E+11,5.35442E+13,204757766
2025-11-25,257500,0,0,261000,262000,256500,390393,1.01168E+11,5.27251E+13,204757766
2025-11-24,257500,-2000,-0.77,262000,262000,257500,610389,1.57795E+11,5.27251E+13,204757766
2025-11-21,259500,-2500,-0.95,255000,261000,254500,538414,1.39301E+11,5.31346E+13,204757766
2025-11-20,262000,-2000,-0.76,267000,267500,262000,501196,1.32451E+11,5.36465E+13,204757766
2025-11-19,264000,-500,-0.19,272000,272000,261500,413452,1.0951E+11,5.40561E+13,204757766
2025-11-18,264500,-7000,-2.58,269000,271500,263500,475705,1.26928E+11,5.41584E+13,204757766
2025-11-17,271500,-1000,-0.37,275500,275500,271500,384305,1.04733E+11,5.55917E+13,204757766
2025-11-14,272500,-6000,-2.15,272500,278000,272000,579023,1.58617E+11,5.57965E+13,204757766
2025-11-13,278500,3000,1.09,273000,279000,272500,681153,1.88354E+11,5.7025E+13,204757766
2025-11-12,275500,6500,2.42,271500,278500,269500,807526,2.22645E+11,5.64108E+13,204757766
2025-11-11,269000,-1500,-0.55,272500,274000,267500,494203,1.33786E+11,5.50798E+13,204757766
2025-11-10,270500,6500,2.46,266500,274000,265000,692464,1.87549E+11,5.5387E+13,204757766
2025-11-07,264000,-5000,-1.86,261000,267000,259500,666772,1.75204E+11,5.40561E+13,204757766
2025-11-06,269000,500,0.19,274500,275000,264500,686561,1.84835E+11,5.50798E+13,204757766
2025-11-05,268500,-7500,-2.72,270000,271500,259000,1420277,3.76991E+11,5.49775E+13,204757766
2025-11-04,276000,-15500,-5.32,286500,288500,276000,1416294,3.96593E+11,5.65131E+13,204757766
2025-11-03,291500,1500,0.52,297500,298000,288000,1498016,4.3615E+11,5.96869E+13,204757766
2025-10-31,290000,25000,9.43,273500,294000,270500,3631736,1.03886E+12,5.93798E+13,204757766
2025-10-30,265000,7000,2.71,287500,289500,263000,2958411,8.08443E+11,5.42608E+13,204757766
2025-10-29,258000,7500,2.99,254500,259500,251000,937830,2.40562E+11,5.28275E+13,204757766
2025-10-28,250500,-4000,-1.57,253500,253500,249000,677447,1.69597E+11,5.12918E+13,204757766
2025-10-27,254500,2000,0.79,253500,259500,253000,763121,1.9493E+11,5.21109E+13,204757766
2025-10-24,252500,500,0.2,253500,254000,248000,775983,1.94993E+11,5.17013E+13,204757766
2025-10-23,252000,-9000,-3.45,256500,258500,251000,909720,2.31587E+11,5.1599E+13,204757766
2025-10-22,261000,4500,1.75,265000,265000,254500,1060973,2.74362E+11,5.34418E+13,204757766
2025-10-21,256500,8500,3.43,252000,267000,251500,2002410,5.22968E+11,5.25204E+13,204757766
2025-10-20,248000,5000,2.06,251500,252000,241500,1155423,2.85009E+11,5.07799E+13,204757766
2025-10-17,243000,1000,0.41,241000,246000,239500,994190,2.41245E+11,4.97561E+13,204757766
2025-10-16,242000,18500,8.28,237000,245000,234000,2115204,5.091E+11,4.95514E+13,204757766
2025-10-15,223500,500,0.22,223000,224000,220000,670710,1.49604E+11,4.57634E+13,204757766
2025-10-14,223000,4500,2.06,218500,225000,218000,885802,1.96954E+11,4.5661E+13,204757766
2025-10-13,218500,1500,0.69,214500,219500,214000,544349,1.18207E+11,4.47396E+13,204757766
2025-10-10,217000,-3000,-1.36,219000,220250,216500,779161,1.69537E+11,4.44324E+13,204757766
2025-10-02,220000,4500,2.09,216500,223000,216500,1099674,2.41795E+11,4.50467E+13,204757766
2025-10-01,215500,500,0.23,215500,217000,215000,297048,64145042000,4.41253E+13,204757766
2025-09-30,215000,0,0,214000,216000,214000,339691,73104974000,4.40229E+13,204757766
2025-09-29,215000,500,0.23,215500,216500,214000,339105,73036035500,4.40229E+13,204757766
2025-09-26,214500,-2500,-1.15,215000,215500,213000,448652,96075331750,4.39205E+13,204757766
2025-09-25,217000,-500,-0.23,217000,217500,215500,509882,1.1028E+11,4.44324E+13,204757766
